articleName,wordCount,NoOfEditors,NoOfRevisions,NoOfEditSessions,startTime,endTime,durationInHours,durationindays,subjectivity,readingScore,authority,totalRefs,NoOfValidUrlRefs,totalUrlRefs,verifiability,vandalisim,volatility,Speed1 (Edit sessions),Speed2 (No of days),Speed4 (No of edits),Speed5 (edits/edit sessions),Speed6 (edits/durationindays),Speed8(Edit sessions/durationindays)
Caricatures of Charles Darwin and his evolutionary theory in 19th-century England,1265,37,51,38,2013-02-28T18:05:47Z,2019-02-04T18:02:19Z,52007.94222222220,2166.99759259259,0.3248476442651200,38.35,0.0007905138339920950,1,1,1,1.0,5,0.09803921568627450,33.2894736842105,0.583756993696775,24.8039215686275,1.34210526315789,0.0235348669395538,0.0235348669395538
Valentina Grizodubova,1098,74,155,116,2006-10-26T22:54:58Z,2018-12-18T18:57:36Z,106460.04388888900,4435.83516203704,0.2893058918482650,-3.75,0.004553734061930780,5,2,2,1.0,0,0.0,9.46551724137931,0.247529486532086,7.08387096774194,1.33620689655172,0.0349426870787553,0.0349426870787553
The Blizzard,1006,58,80,68,2005-12-13T19:58:05Z,2018-11-16T06:06:30Z,113290.14027777800,4720.42251157408,0.48038449739237100,15.38,0.0,0,0,0,1,3,0.0375,14.7941176470588,0.213116516060453,12.575,1.17647058823529,0.0169476354720042,0.0169476354720042
Phytophthora infestans,4312,365,673,463,2003-01-05T03:34:32Z,2019-02-27T08:09:12Z,141532.57777777800,5897.19074074075,0.40916256617283000,14.33,0.006029684601113170,26,3,7,0.42857142857142900,55,0.08172362555720650,9.31317494600432,0.731195613228269,6.40713224368499,1.45356371490281,0.114122135367028,0.114122135367028
Astianthus,1085,24,45,32,2013-04-13T06:35:59Z,2018-03-23T01:48:06Z,43315.201944444400,1804.800081018520,0.4809056170167280,-14.41,0.0,0,0,0,1,1,0.022222222222222200,33.90625,0.601174618402993,24.1111111111111,1.40625,0.0249335095190182,0.0249335095190182
Ivory Coast Expedition,819,30,71,45,2011-06-19T07:44:47Z,2018-09-30T12:02:55Z,63844.30222222220,2660.17925925926,0.2874586381051900,41.53,0.001221001221001220,1,0,1,0.0,0,0.0,18.2,0.307873988998792,11.5352112676056,1.57777777777778,0.0266899306702249,0.0266899306702249
Margaret Crittendon Douglass,2072,20,83,30,2015-11-22T17:10:08Z,2018-09-17T09:34:18Z,24712.402777777800,1029.683449074080,0.4153338234798910,18.7,0.0019305019305019300,4,2,3,0.6666666666666670,0,0.0,69.0666666666667,2.01226891804777,24.9638554216867,2.76666666666667,0.0806072973928404,0.0806072973928404
Africa–China economic relations,10526,88,127,109,2012-06-19T03:24:37Z,2018-12-31T07:01:23Z,57267.61277777780,2386.15053240741,0.3124023406500040,-6.96,0.00332509975299259,35,19,30,0.6333333333333330,3,0.023622047244094500,96.5688073394495,4.41128916933008,82.8818897637795,1.1651376146789,0.0532238005419836,0.0532238005419836
Rufina Gasheva,634,11,55,31,2016-10-26T01:38:57Z,2019-01-30T17:06:41Z,19839.46222222220,826.64425925926,0.21961988304093600,19.03,0.006309148264984230,4,4,4,1.0,0,0.0,20.4516129032258,0.766956272784277,11.5272727272727,1.7741935483871,0.0665340615191407,0.0665340615191407
Anatidae,3937,307,620,483,2003-03-31T19:54:21Z,2019-02-12T20:47:09Z,139128.88,5797.04,0.4360186374825410,-5.68,0.00381000762001524,15,8,9,0.8888888888888890,45,0.07258064516129030,8.15113871635611,0.679140089390499,6.35,1.28364389233954,0.106951195179606,0.106951195179606
