articleName,wordCount,NoOfEditors,NoOfRevisions,NoOfEditSessions,startTime,endTime,durationInHours,durationinDays,subjectivity,readingScore,authority,totalRefs,NoOfValidUrlRefs,totalUrlRefs,verifiability,vandalisim,volatility,Speed1 (Edit sessions),Speed2 (No of days),Speed4 (No of edits),Speed5 (edits/edit sessions),Speed6 (edits/durationindays),Speed8(Edit sessions/durationindays)
Journal of Alloys and Compounds,630,3,33,5,2019-02-07T19:23:39Z,2019-03-05T00:38:51Z,605.2533333333330,25.2188888888889,0.3230519480519480,-48.52,0.020634920634920600,13,5,10,0.5,0,0.0,126,24.9812750583777,19.0909090909091,6.6,1.30854297924836,0.198264087764903
2010 Copenhagen terror plot,1114,45,93,60,2010-12-30T14:25:37Z,2019-01-10T07:54:16Z,70385.4775,2932.7282,0.34730364873222000,-63.1,0.017055655296229800,19,13,19,0.6842105263157900,1,0.010752688172043000,18.5666666666667,0.379851085048048,11.9784946236559,1.55,0.0317110869923415,0.0204587658015107
The Encantadas,1617,33,64,52,2007-03-29T01:57:11Z,2018-07-01T06:56:40Z,98692.99138888890,4112.20797453704,0.40529061102831600,29.32,0.0006184291898577610,1,1,1,1.0,2,0.03125,31.0961538461538,0.393219411569777,25.265625,1.23076923076923,0.0155634151765403,0.012645274830939
1979 Florida State Seminoles football team,1192,27,51,42,2012-07-26T14:36:58Z,2019-01-27T20:59:01Z,57030.3675,2376.2653,0.38943937418513700,-36.23,0.0,0,0,0,1,1,0.0196078431372549,28.3809523809524,0.501627488197406,23.3725490196078,1.21428571428571,0.0214622499144863,0.0176747940472241
Ahmadiyya and other faiths,1685,33,49,45,2014-09-09T11:35:19Z,2018-12-19T18:46:33Z,37495.18722222220,1562.29946759259,0.3360857892107890,-15.63,0.010682492581602400,18,16,18,0.8888888888888890,1,0.02040816326530610,37.4444444444444,1.0785384204198,34.3877551020408,1.08888888888889,0.0313640252822374,0.028803696687769
Aiken Air Force Station,1275,20,43,34,2010-12-28T22:44:39Z,2018-10-24T14:05:09Z,68559.34166666670,2856.63923611111,0.3261287477954140,-51.28,0.0,0,0,0,1,0,0.0,37.5,0.446328673177409,29.6511627906977,1.26470588235294,0.0150526532914734,0.0119020979513976
2001 uprising in Herat,790,93,165,114,2006-07-12T04:49:59Z,2019-03-05T17:58:52Z,110869.14805555600,4619.54783564817,0.43002070393374800,5.9,0.0,0,0,0,1,6,0.03636363636363640,6.92982456140351,0.171012408163353,4.78787878787879,1.44736842105263,0.0357177814518396,0.0246777399121801
Canadian National Railway,8539,694,1630,1159,2003-07-04T04:28:05Z,2019-03-08T03:30:08Z,137423.03416666700,5725.95975694446,0.3440805939987880,11.93,0.004215950345473710,36,22,31,0.7096774193548390,99,0.06073619631901840,7.36755823986195,1.4912783816973,5.23865030674847,1.40638481449525,0.284668434496615,0.202411481951888
Artigas Airport,339,25,47,33,2009-04-07T17:23:25Z,2019-02-21T02:54:24Z,86553.5163888889,3606.3965162037,0.1642857142857140,-136.09,0.014749262536873200,5,4,5,0.8,0,0.0,10.2727272727273,0.0939996471482983,7.21276595744681,1.42424242424242,0.0130323994571387,0.00915040812948036
FlyGTA Airlines,344,26,94,42,2017-08-13T01:43:13Z,2019-01-21T20:35:56Z,12642.878611111100,526.786608796296,0.2212121212121210,-75.32,0.02616279069767440,9,9,9,1.0,11,0.11702127659574500,8.19047619047619,0.653015840296392,3.65957446808511,2.23809523809524,0.178440374964712,0.0797286781757223
Adrienne Bolland,1554,47,115,70,2005-08-11T11:33:22Z,2018-10-03T08:16:14Z,115220.71444444400,4800.86310185183,0.3637509549274250,15.38,0.009009009009009010,14,6,14,0.42857142857142900,2,0.017391304347826100,22.2,0.323691796044044,13.5130434782609,1.64285714285714,0.0239540260907755,0.0145807115335155
2013 FIFA Confederations Cup Final,2221,50,180,91,2012-06-21T03:26:25Z,2018-07-19T23:22:02Z,53275.92694444440,2219.83028935185,0.4295916305916300,-44.42,0.007203962179198560,16,6,16,0.375,8,0.044444444444444400,24.4065934065934,1.0005269369707,12.3388888888889,1.97802197802198,0.0810872798985713,0.0409941248376111
6th Florida Infantry Regiment,22311,31,134,92,2015-06-18T18:31:26Z,2019-03-02T00:15:10Z,32453.72888888890,1352.23870370370,0.4151009381058650,51.82,0.0004930303437766120,11,0,0,1,0,0.0,242.510869565217,16.499305883563,166.5,1.45652173913043,0.0990949302316093,0.0680353252336422
Ajamu Baraka,3695,158,611,311,2016-08-02T01:49:22Z,2019-02-16T02:58:12Z,22273.147222222200,928.047800925925,0.32400169275169200,-91.11,0.015426251691475000,57,41,56,0.7321428571428570,59,0.09656301145662850,11.8810289389068,3.98147595017568,6.04746317512275,1.96463022508039,0.658371259961392,0.335112048851052
Aero A.200,362,32,51,44,2004-09-17T04:23:25Z,2018-06-12T15:28:40Z,120395.0875,5016.4620,0.323395061728395,38.28,0.0,0,0,0,1,0,0.0,8.22727272727273,0.0721624127728633,7.09803921568627,1.15909090909091,0.0101665277663426,0.00877112199449167
