articleName,wordCount,NoOfEditors,NoOfRevisions,NoOfEditSessions,startTime,endTime,durationInHours,durationindays,subjectivity,readingScore,authority,totalRefs,NoOfValidUrlRefs,totalUrlRefs,verifiability,vandalisim,volatility,Speed1 (Edit sessions),Speed2 (No of days),Speed4 (No of edits),Speed5 (edits/edit sessions),Speed6 (edits/durationindays),Speed8(Edit sessions/durationindays)
Washington State Route 527,1365,56,175,86,2006-08-31T20:10:29Z,2018-01-28T04:23:05Z,100016.21,4167.34,0.2608766233766230,-39.04,0.01391941391941390,19,15,18,0.8333333333333330,1,0.005714285714285710,15.8720930232558,0.327546904646757,7.8,2.03488372093023,0.0419931929034304,0.0206366547982572
Whiddy Island disaster,1797,119,385,222,2006-05-18T16:00:31Z,2018-06-16T23:35:54Z,105895.58972222200,4412.31623842592,0.4485484515484520,37.98,0.0022259321090706700,4,3,3,1.0,7,0.01818181818181820,8.09459459459459,0.40726908564493,4.66753246753247,1.73423423423423,0.0872557584715069,0.0503137100796741
Washington State Route 18,2719,65,126,104,2006-02-13T22:03:22Z,2016-10-09T05:18:04Z,93367.245,3890.302,0.3773210831721470,-130.66,0.017285766826039000,47,38,40,0.95,2,0.015873015873015900,26.1442307692308,0.698917484391876,21.5793650793651,1.21153846153846,0.0323882320828895,0.0267331439414326
"William de Braose, 2nd Baron Braose",1450,23,152,75,2010-11-16T23:54:29Z,2018-04-15T13:56:06Z,64958.02694444440,2706.58445601852,0.31787953425884500,19.51,0.007586206896551720,11,0,0,1,2,0.013157894736842100,19.3333333333333,0.535730557668613,9.53947368421053,2.02666666666667,0.0561593412176752,0.0277102012587213
55 Cancri e,1873,171,336,266,2006-04-30T18:58:02Z,2018-06-27T20:12:02Z,106585.23333333300,4441.05138888888,0.42382756132756100,-44.49,0.009610250934329950,18,1,4,0.25,30,0.08928571428571430,7.04135338345865,0.421746977458104,5.57440476190476,1.26315789473684,0.0756577599711281,0.0598957266438098
Who's That Girl World Tour,5781,244,562,427,2006-02-16T14:32:08Z,2018-05-01T05:34:53Z,106959.04583333300,4456.62690972221,0.4089006112305440,-2.29,0.007438159487977860,43,27,40,0.675,57,0.10142348754448400,13.5386416861827,1.29716938776918,10.2864768683274,1.31615925058548,0.126104341104701,0.0958123730457427
What Were We Thinking Of,1325,7,19,17,2017-08-17T03:15:13Z,2018-04-28T04:30:12Z,6097.249722222220,254.052071759259,0.4302499583749580,-29.4,0.011320754716981100,15,2,3,0.6666666666666670,1,0.05263157894736840,77.9411764705882,5.21546622637101,69.7368421052632,1.11764705882353,0.0747878175856975,0.0669154157345715
We choose to go to the Moon,1970,134,327,212,2013-10-23T07:40:24Z,2018-06-17T06:24:18Z,40750.73166666670,1697.94715277778,0.420859538784067,26.07,0.01015228426395940,20,6,14,0.42857142857142900,45,0.13761467889908300,9.29245283018868,1.16022456692904,6.02446483180428,1.54245283018868,0.192585499180608,0.124856653903024
Welcome to the Universe Tour,1661,15,24,22,2013-10-16T20:17:15Z,2018-02-08T22:49:04Z,37826.530277777800,1576.105428240740,0.6003911990150520,-22.12,0.012040939193257100,20,9,17,0.5294117647058820,0,0.0,75.5,1.05386351080208,69.2083333333333,1.09090909090909,0.0152274077418723,0.0139584570967163
Weiquan movement,5718,79,383,186,2008-12-11T06:50:08Z,2018-04-02T17:17:36Z,81586.45777777780,3399.43574074074,0.30688722171746900,-24.66,0.0013990905911157700,8,5,7,0.7142857142857140,4,0.010443864229765000,30.741935483871,1.68204385553528,14.9295039164491,2.05913978494624,0.112665756675413,0.0547149627718718
22 Short Films About Springfield,2490,408,730,546,2005-05-11T18:18:58Z,2018-06-12T15:41:58Z,114717.38333333300,4779.89097222221,0.45212998300076900,-27.23,0.008032128514056220,20,5,7,0.7142857142857140,28,0.038356164383561600,4.56043956043956,0.520932384121385,3.41095890410959,1.33699633699634,0.152723148758478,0.114228546879629
1941 Cabo San Lucas hurricane,695,12,72,28,2016-07-16T17:03:50Z,2017-11-01T14:33:33Z,11349.495277777800,472.895636574075,0.3529761904761910,-0.54,0.017266187050359700,12,2,8,0.25,1,0.013888888888888900,24.8214285714286,1.46966887881431,9.65277777777778,2.57142857142857,0.152253466582202,0.0592096814486341
Walter Dix,3184,179,303,247,2007-05-28T18:03:59Z,2018-06-21T05:30:41Z,96995.445,4041.477,0.39265181697452600,21.2,0.0009422110552763820,3,3,3,1.0,17,0.056105610561056100,12.8906882591093,0.787830809993191,10.5082508250825,1.22672064777328,0.074972592785156,0.0611162720063813
1949 Texas hurricane,979,32,54,46,2010-10-26T14:58:57Z,2016-09-19T04:07:06Z,51709.135833333300,2154.547326388890,0.3374922696351270,-35.53,0.015321756894790600,15,11,14,0.7857142857142860,0,0.0,21.2826086956522,0.454387790887306,18.1296296296296,1.17391304347826,0.0250632693645705,0.0213501924216712
Washington State Route 902,592,19,32,30,2008-04-02T04:18:43Z,2017-11-24T21:06:12Z,84568.79138888890,3523.69964120370,0.25622262922262900,-32.41,0.013513513513513500,8,5,7,0.7142857142857140,0,0.0,19.7333333333333,0.168005238890841,18.5,1.06666666666667,0.00908136426436981,0.0085137789978467
61st Infantry Division (United Kingdom),3651,46,156,99,2007-07-09T23:23:12Z,2017-07-28T00:03:45Z,88104.67583333330,3671.02815972222,0.26072189506400000,-28.92,0.010408107367844400,38,3,5,0.6,0,0.0,36.8787878787879,0.994544264208604,23.4038461538462,1.57575757575758,0.0424949069341392,0.0269679217082037
West Creek (Pennsylvania),1472,16,42,27,2014-05-03T19:24:32Z,2016-12-29T22:01:54Z,23306.62277777780,971.10928240741,0.33033523809523800,24.71,0.0,0,0,0,1,0,0.0,54.5185185185185,1.51579232807956,35.047619047619,1.55555555555556,0.0432495093609658,0.0278032560177637
1948 Atlantic hurricane season,4401,56,244,135,2005-01-03T04:47:41Z,2017-12-10T04:17:06Z,113375.49027777800,4723.97876157408,0.3635447808790350,-7.68,0.007498295841854120,33,14,23,0.6086956521739130,3,0.012295081967213100,32.6,0.931629929371981,18.0368852459016,1.80740740740741,0.051651375316238,0.0285776051954596
